Month,opinion_mon+1,constant,news_county_mean_ob_imp,news_county_num,racediv,agediv,edudiv,politicaldiv,voteturn,popden,medianinc,housemedianprice,unem,edulevel,pc
1992/11/01,57.43319116,1.9981779400000048,0.8853686660000006,2.756313300000008,0.4341775523035991,1.8651691391239202,1.1041775327868328,1.6497101856000032,81.07550700941962,2960.391528759998,12.564349538141705,17.67211183241065,15.497568261522792,39.98382567793772,0.06087161290784193
1992/12/01,57.16694068,1.9981779400000048,0.6981864613333325,3.5144486600000007,0.43463655199188683,1.8652027225659327,1.1026011345192335,1.6497101856000032,80.83106999131088,2962.5744456688008,12.588336430705478,17.77109099801959,15.392922922984514,40.068772913130026,0.06087161290784193
1993/01/01,56.89366719,1.9981779400000048,0.662202404000001,4.054209520000004,0.4350924605995486,1.865235290491914,1.1010669620061662,1.6565523104000026,80.58745801295244,2964.759490984469,12.611814161418735,17.86953539118417,15.275524436798033,40.151041100729564,-0.041829771893157966
1993/02/01,56.61412291,1.9981779400000048,0.662202404000001,4.054209520000004,0.43554495542577937,1.8652669192669689,1.099588560669001,1.6565523104000026,80.34481081950008,2966.946792526331,12.634788360003357,17.967470148582755,15.147469195392677,40.229946625038195,-0.041829771893157966
1993/03/01,56.32906007,1.9981779400000048,0.662202404000001,4.054209520000004,0.4359937137697754,1.8652976852562253,1.0981831065962553,1.6565523104000026,80.10326815584365,2969.136478113715,12.65726465557505,18.06492040879363,15.01085359119776,40.30480587075379,-0.041829771893157966
1993/04/01,56.03923087,1.9981779400000048,0.20560315799999968,2.0560315799999995,0.4364384129307239,1.865327664824827,1.096866208255711,1.6565523104000026,79.86296976773221,2971.328675565978,12.679248677834979,18.161911309082193,14.867774016642707,40.37493522191689,-0.041829771893157966
1993/05/01,55.74538755,1.9981779400000048,0.20560315799999968,2.0560315799999995,0.4368787302078218,1.8653569343378738,1.0956527752543124,1.6565523104000026,79.62405540054729,2973.5235127024303,12.700746056084725,18.258467987412846,14.720326864156727,40.43965106254261,-0.041829771893157966
1993/06/01,55.44828233,1.9981779400000048,0.662202404000001,4.054209520000004,0.4373143429005601,1.865385570160509,1.0945591865141577,1.6565523104000026,79.38666479938381,2975.7211173424316,12.721762419700328,18.354615580726318,14.570608526169142,40.49826977798321,-0.041829771893157966
1993/07/01,55.14866742,1.9981779400000048,0.662202404000001,4.054209520000004,0.4377446994681622,1.8654136491765672,1.0936078146899813,1.6565523104000026,79.15093770917403,2977.904921347892,12.742303398140297,18.45037922826492,14.423980734394608,40.54569009242415,-0.041829771893157966
1993/08/01,54.84729505,1.9981779400000048,0.662202404000001,4.054209520000004,0.4381707189907351,1.8654412454168887,1.09277927360607,1.6565523104000026,78.91701387583124,2980.0920721347234,12.762374620822758,18.545784066481286,14.277641866831894,40.58785487878341,-0.041829771893157966
1993/09/01,54.54491743,1.9981779400000048,0.662202404000001,4.054209520000004,0.43859311052174393,1.8654684334309826,1.092059434902381,1.6565523104000026,78.68503304464805,2982.2830210267816,12.781981717060527,18.640855233379924,14.132055646267721,40.626289351922004,-0.041829771893157966
1993/10/01,54.24228679,1.9981779400000048,0.662202404000001,4.054209520000004,0.4390125847223649,1.8654952877684117,1.0914352265279454,1.6565523104000026,78.45513496073345,2984.4782193479537,12.801130316396303,18.735617867263716,13.987685795488604,40.66251872531123,-0.041829771893157966
1993/11/01,53.94015536,1.9981779400000048,0.20560315799999968,2.0560315799999995,0.4394298522537749,1.8655218829787,1.0908953440105154,1.6565523104000026,78.22745936922894,2986.6781184220636,12.819826048359701,18.8300971050909,13.84499603728138,40.698068213530505,-0.041829771893157966
1993/12/01,53.63927534,1.9981779400000048,0.20560315799999968,2.0560315799999995,0.43984562377714453,1.8655482936114025,1.0904251373948162,1.6565523104000026,78.00214601559706,2988.883169572978,12.83807454210283,18.9243180843613,13.704450094432664,40.734463030351755,-0.041829771893157966
1994/01/01,53.34039897,1.9981779400000048,0.20560315799999968,2.0560315799999995,0.4402606099536542,1.8655745942160513,1.0900113895964387,1.6565523104000026,77.77933464500806,2991.093824124587,12.855881427038446,19.018305944545578,13.566511689729136,40.77322838962027,-0.041829771893157966
1994/02/01,53.04427845,1.9981779400000048,0.662202404000001,4.054209520000004,0.440675521444474,1.8656008593421902,1.0896421078780163,1.6565523104000026,77.55916500318546,2993.3105334007296,12.873252332948583,19.11208582165467,13.431644545957425,40.81588950557794,-0.041829771893157966
1994/03/01,52.75166603,1.9981779400000048,0.20560315799999968,2.0560315799999995,0.44109106891078226,1.8656271635393582,1.0893037411239348,1.6565523104000026,77.34177683562076,2995.5337487252914,12.890192888907206,19.20568285385479,13.300312385904231,40.86397159249301,-0.041829771893157966
1994/04/01,52.4633139,1.9981779400000048,0.662202404000001,4.054209520000004,0.4415079630137533,1.8656535813570938,1.0889841498855617,1.6565523104000026,77.12730988668048,2997.7639214221003,12.90670872444725,19.299122178989837,13.17297893235622,40.91899986405899,-0.041829771893157966
1994/05/01,52.1799743,1.9981779400000048,0.662202404000001,4.054209520000004,0.4419269144145609,1.86568018734494,1.0886678689046703,1.6565523104000026,76.91590390250006,3000.0015028150456,12.922805469002048,19.392428935029884,13.05010790810006,40.98249953497043,-0.041829771893157966
1994/06/01,51.90239945,1.9981779400000048,0.662202404000001,4.054209520000004,0.44234863377554196,1.8657070560524471,1.0883436887013915,1.6565523104000026,76.7076986278997,3002.2469442279603,12.938488751854013,19.48562825920311,12.932163035922427,41.05599581910012,-0.041829771893157966
1994/07/01,51.63134157,1.9981779400000048,0.662202404000001,4.054209520000004,0.4427742336750129,1.8657343340216652,1.0879910777508395,1.6565523104000026,76.5028338080623,3004.5015147083036,12.95376420281879,19.5787452895695,12.820319078377869,41.146933961526926,-0.041829771893157966
1994/08/01,51.36755287,1.9981779400000048,0.662202404000001,4.054209520000004,0.4432026791866022,1.8657617718357755,1.087627957967176,1.6565523104000026,76.30144918843234,3006.7646475925553,12.968637450878967,19.671805163545994,12.713973275581786,41.24795912608695,-0.041829771893157966
1994/09/01,51.11178559,1.9981779400000048,0.20560315799999968,2.0560315799999995,0.44363334168674873,1.8657891920704646,1.0872642385242395,1.6565523104000026,76.10368451477282,3009.036593932736,12.98311412566194,19.76483301905781,12.613233830436831,41.357636512021436,-0.041829771893157966
1994/10/01,50.86479193,1.9981779400000048,0.662202404000001,4.054209520000004,0.4440655929282014,1.8658164173014258,1.0869089427273941,1.6565523104000026,75.9096795321901,3011.3176047808147,12.997199856347967,19.8578539942761,12.518208945845789,41.47453131722274,-0.041829771893157966
1994/11/01,50.62732412,1.9981779400000048,0.20560315799999968,2.0560315799999995,0.4444988046637104,1.8658432701043435,1.0865730012413737,1.6565523104000026,75.7195739858156,3013.607931188776,13.010900272826953,19.95089322610392,12.429006824711443,41.597208739751245,-0.041829771893157966
1994/12/01,50.40013439,1.9981779400000048,0.20560315799999968,2.0560315799999995,0.444932348646023,1.8658695730549186,1.086266803846067,1.6565523104000026,75.53350762068736,3015.9078242086375,13.024221003934107,20.043975853056935,12.34573566993643,41.72423397874958,-0.041829771893157966
1995/01/01,50.18397495,1.9981779400000048,0.146926768,1.4692676800000004,0.44536559662788794,1.8658951487288427,1.0860002394938455,1.6046630585999972,75.35162018256075,3018.21753489235,13.037167679514944,20.13712701210386,12.268503684423559,41.854172232794504,0.07685570020084206
1995/02/01,49.97959803,1.9981779400000048,0.146926768,1.4692676800000004,0.44579792036205756,1.8659198197018114,1.0857828649881975,1.6046630585999972,75.17405141699217,3020.5373142919207,13.049745928821014,20.230371841704216,12.19741907107557,41.985588700594505,0.07685570020084206
1995/03/01,49.78775584,1.9981779400000048,0.146926768,1.4692676800000004,0.44622869160127443,1.8659434085495048,1.0856266449953924,1.6046630585999972,75.00094106876081,3022.8674134593307,13.061961381294681,20.323735478918145,12.132590032795099,42.11704858028648,0.07685570020084206
1995/04/01,49.60920061,1.9981779400000048,0.146926768,1.4692676800000004,0.44665728209829325,1.8659657378476373,1.0855403433679964,1.6046630585999972,74.83242888354702,3025.2080834465687,13.073819666580912,20.417243062196004,12.074124772485021,42.24711707032669,0.07685570020084206
1995/05/01,49.44468455,1.9981779400000048,0.701319997333333,3.467445620000003,0.4470830636058584,1.865986630171879,1.0855343462790346,1.6046630585999972,74.66865460601663,3027.559575305627,13.085326413543038,20.51091972875389,12.022131493047892,42.374359369172346,0.07685570020084206
1995/06/01,49.29495989,1.9981779400000048,0.701319997333333,3.467445620000003,0.447505407934424,1.8660059080979245,1.0856172734784706,1.6046630585999972,74.50975798239405,3029.922140088489,13.096487252282989,20.604790616071572,11.97671839738669,42.49734067543441,0.07685570020084206
1995/07/01,49.16077886,1.9981779400000048,0.701319997333333,3.467445620000003,0.4479235687731209,1.8660232214176655,1.0858104723100097,1.6046630585999972,74.35587875696069,3032.30494461204,13.107307811641746,20.69888086273562,11.940651668802607,42.61142074009234,0.07685570020084206
1995/08/01,49.04289366,1.9981779400000048,0.701319997333333,3.467445620000003,0.44833749722752086,1.8660391702339572,1.0860880152897798,1.6046630585999972,74.20715667615652,3034.6994595207993,13.117793721270543,20.793215605240405,11.910052487038351,42.71997292730504,0.07685570020084206
1995/09/01,48.94205652,1.9981779400000048,0.701319997333333,3.467445620000003,0.4487473712688617,1.8660541818658467,1.0864341967763769,1.6046630585999972,74.06373148421152,3037.106071343875,13.127950610660465,20.887819982707647,11.883700064797422,42.823165159169285,0.07685570020084206
1995/10/01,48.85901967,1.9981779400000048,0.701319997333333,3.467445620000003,0.4491528729450722,1.8660686836323903,1.0868345446401253,1.6046630585999972,73.92574292672889,3039.525166610348,13.13778410918234,20.982719131704354,11.860373614783196,42.92116535804336,0.07685570020084206
1995/11/01,48.79453531,1.9981779400000048,0.701319997333333,3.467445620000003,0.44955356920583084,1.8660831028526328,1.087271889260647,1.6046630585999972,73.79333074982253,3041.9571318493427,13.147299846140347,21.077938190868657,11.838852349699133,43.01414144592215,0.07685570020084206
1995/12/01,48.74935569,1.9981779400000048,0.701319997333333,3.467445620000003,0.4499492453452262,1.8660978668456203,1.0877316483734203,1.6046630585999972,73.66663469772912,3044.40235358994,13.15650345117411,21.17350229707445,11.817915482248573,43.10226134504597,0.07685570020084206
1996/01/01,48.72423301,1.9981779400000048,0.701319997333333,3.467445620000003,0.4503396866573533,1.8661134029304138,1.088197928926682,1.6046630585999972,73.54579451648691,3046.861218361233,13.165400553481234,21.269436589447203,11.7963422251351,43.1856929774051,0.07685570020084206
1996/02/01,48.71991949,1.9981779400000048,0.701319997333333,3.467445620000003,0.4507246784363035,1.8661301384260442,1.0886542093056597,1.6046630585999972,73.4309499511558,3049.334112692334,13.173996782456719,21.36576620370188,11.772911791062052,43.26460426549289,0.07685570020084206
1996/03/01,48.73716736,1.9981779400000048,0.701319997333333,3.467445620000003,0.45110400597617345,1.8661485006515817,1.0890850447500222,1.6046630585999972,73.32224074699727,3051.821423112337,13.182297767681463,21.46251627946561,11.746403392732798,43.33916313085398,0.07685570020084206
1996/04/01,48.77672884,1.9981779400000048,0.701319997333333,3.467445620000003,0.4514774545710513,1.866168916926061,1.089474150434826,1.6046630585999972,73.21980664930803,3054.3235361503416,13.190309138675092,21.559711953037297,11.715596242850863,43.40953749569286,0.07685570020084206
1996/05/01,48.83935615,1.9981779400000048,0.146926768,1.4692676800000004,0.45184480951503153,1.8661918145685337,1.0898067898710921,1.6046630585999972,73.12378740323871,3056.840838335451,13.198036524507765,21.657378362550116,11.679269554119633,43.47589528208937,0.07685570020084206
1996/06/01,48.9258015,1.9981779400000048,0.146926768,1.4692676800000004,0.4522071093477564,1.8662176208980472,1.0900659238810684,1.6046630585999972,73.03432275431437,3059.3737161967497,13.205485554904234,21.75554064672531,11.636202539242564,43.538404412851655,0.07685570020084206
1996/07/01,49.03681713,1.9981779400000048,0.146926768,1.4692676800000004,0.4525626270001074,1.8662469977337715,1.0902295379043039,1.6046630585999972,72.95197278085988,3061.934805444533,13.212661859166326,21.85422394158141,11.581119246032367,43.59693907150164,0.07685570020084206
1996/08/01,49.17315525,1.9981779400000048,0.146926768,1.4692676800000004,0.45291479113819494,1.8662793171442424,1.0903130923846216,1.6046630585999972,72.8762466747463,3064.5119101782902,13.219571066748799,21.95345338686148,11.518881625983944,43.652107799207,0.07685570020084206
1996/09/01,49.33556809,1.9981779400000048,0.146926768,1.4692676800000004,0.45326631682340773,1.866314185698122,1.090325292649481,1.6046630585999972,72.80707401482023,3067.105083639478,13.226218807158169,22.053254118637742,11.450296474246,43.70422538733607,0.07685570020084206
1996/10/01,49.52480786,1.9981779400000048,0.701319997333333,3.467445620000003,0.4536199191171439,1.8663512099640724,1.0902774118997052,1.6046630585999972,72.74438437992762,3069.7143790695586,13.23261070942641,22.15365127495775,11.376170585967339,43.75360662725349,0.07685570020084206
1996/11/01,49.74162678,1.9981779400000048,0.146926768,1.4692676800000004,0.45397831308079084,1.866389996510737,1.0901758584605181,1.6046630585999972,72.68810734891495,3072.3398497099947,13.238752403256623,22.254669994053383,11.29731075629672,43.80056630890021,0.07685570020084206
1996/12/01,49.98677708,1.9981779400000048,0.146926768,1.4692676800000004,0.45434421377574474,1.8664301519067827,1.090032658350164,1.6046630585999972,72.63817250062883,3074.98154880225,13.244649518261156,22.35633541279141,11.21452378038292,43.8454192231618,0.07685570020084206
1997/01/01,50.26101097,1.9981779400000048,0.6660720093333343,3.9961654400000057,0.4547203362633971,1.866471282720873,1.0898534139439358,1.6209717402000021,72.59450941391539,3077.639529587779,13.250307683494759,22.45867267014394,11.128616453374706,43.88848016173915,-0.03418617664715799
1997/02/01,50.56508068,1.9981779400000048,0.3329979166666664,2.9969812499999984,0.45510939560514224,1.866512995521647,1.0896490781314716,1.6209717402000021,72.55704766762095,3080.313845308055,13.255732528448114,22.561706903348885,11.04039557042083,43.930063915047114,-0.03418617664715799
1997/03/01,50.89973844,1.9981779400000048,0.6660720093333343,3.9961654400000057,0.4555141068623669,1.8665548968777808,1.0894284557537082,1.6209717402000021,72.52571684059187,3083.0045492045024,13.260929682587037,22.665463249555415,10.950667926670027,43.9704852749062,-0.03418617664715799
1997/04/01,51.26573645,1.9981779400000048,0.6660720093333343,3.9961654400000057,0.45593718509647035,1.8665965933579252,1.0891999283808194,1.6209717402000021,72.50044651167447,3085.7116945186312,13.265904775531466,22.76996684677459,10.860240317271105,44.01005903162415,-0.03418617664715799
1997/05/01,51.66382694,1.9981779400000048,0.19979874999999986,1.9979874999999994,0.45638134536884234,1.8666376915307357,1.0889746602733903,1.6209717402000021,72.48116625971477,3088.435334491856,13.270663436538637,22.87524283287112,10.76991953737282,44.04909997621531,-0.03418617664715799
1997/06/01,52.09476213,1.9981779400000048,0.19979874999999986,1.9979874999999994,0.456849305220381,1.8666777979648692,1.0887592832737227,1.6209717402000021,72.46780566355952,3091.175522365666,13.275211294945368,22.98131634651083,10.680512382123908,44.08792289985476,-0.03418617664715799
1997/07/01,52.55929425,1.9981779400000048,0.19979874999999986,1.9979874999999994,0.45734816948235063,1.8667163648428249,1.0885696296688272,1.6209717402000021,72.46029430205485,3093.941740267159,13.279553980275871,23.08821252316411,10.594123785702996,44.12340693404352,-0.03418617664715799
1997/08/01,53.05817551,1.9981779400000048,0.19979874999999986,1.9979874999999994,0.4578613957970553,1.866753693470965,1.0883840688940873,1.6209717402000021,72.45856175404755,3096.724602547659,13.283697121802936,23.195956502282183,10.509613328242667,44.1610203977565,-0.03418617664715799
1997/09/01,53.59215814,1.9981779400000048,0.19979874999999986,1.9979874999999994,0.45837680010296394,1.8667899307695108,1.0881854644298636,1.6209717402000021,72.46253759838298,3099.524152470114,13.28764634916054,23.304573421599994,10.427138735376856,44.20279591083045,-0.03418617664715799
1997/10/01,54.18741501,1.9981779400000048,0.19979874999999986,1.9979874999999994,0.45888219833854754,1.8668252236586564,1.0879586215872867,1.6209717402000021,72.47215141390824,3102.340433297437,13.291407291496554,23.41408841834766,10.34685773273928,44.250766093401154,-0.03418617664715799
1997/11/01,54.81419355,1.9981779400000048,0.19979874999999986,1.9979874999999994,0.45936540644227264,1.8668597190586107,1.08768344381813,1.6209717402000021,72.4873327794697,3105.1734882925675,13.29498557876239,23.524526629629538,10.268928045963943,44.30696356602281,-0.03418617664715799
1997/12/01,55.46816186,1.9981779400000048,1.4653812733333365,3.9961654400000057,0.45981424035261176,1.866893563889584,1.0873453550595529,1.6209717402000021,72.50801127391351,3108.0233607184227,13.298386839816407,23.635913194783537,10.193507400684613,44.37342094940966,-0.03418617664715799
1998/01/01,56.14498802,1.9981779400000048,1.1489761205000009,5.994343380000006,0.46021651600802943,1.8669269050717685,1.0869297216832563,1.6209717402000021,72.53411647608549,3110.8900938379156,13.301616704042534,23.748273249728555,10.120753522535127,44.45217086454418,-0.03418617664715799
1998/02/01,56.84034013,1.9981779400000048,1.4653812733333365,3.9961654400000057,0.46056004934700057,1.8669598895253992,1.0864192053512105,1.6209717402000021,72.56557796483247,3113.7737309139816,13.304680801390415,23.86163193415229,10.050824137149437,44.54524593115464,-0.03418617664715799
1998/03/01,57.54988626,1.9981779400000048,0.19979874999999986,1.9979874999999994,0.46083265630798903,1.866992664170653,1.085796454772176,1.6209717402000021,72.60232531900093,3116.6743152095446,13.307584760766582,23.976014384092796,9.983876970161287,44.65467877021248,-0.03418617664715799
1998/04/01,58.26929451,1.9981779400000048,0.19979874999999986,1.9979874999999994,0.4610221528294685,1.8670253759277657,1.085044828574436,1.6209717402000021,72.64428811743672,3119.5918899875264,13.310334212005765,24.091445737901378,9.920069747204632,44.78250200163762,-0.03418617664715799
1998/05/01,58.99423297,1.9981779400000048,0.6660720093333343,3.9961654400000057,0.46111635484990693,1.8670581717169141,1.08414826780645,1.6209717402000021,72.69139593898674,3122.526498510866,13.312934784174647,24.20795113356121,9.859560193913214,44.930748246658595,-0.03418617664715799
1998/06/01,59.72036972,1.9981779400000048,0.3329979166666664,2.9969812499999984,0.46110308809103867,1.8670911984583285,1.0830915147058318,1.6209717402000021,72.74357836249698,3125.478184042469,13.315392106849261,24.325555708187956,9.802506035920956,45.10145012505879,-0.03418617664715799
1998/07/01,60.44337286,1.9981779400000048,0.6660720093333343,3.9961654400000057,0.46095328512997796,1.8671247545893443,1.081825310130044,1.6209717402000021,72.80076496681363,3128.4860835509153,13.317711809484672,24.44428460075697,9.751176180695717,45.32087039789778,-0.03418617664715799
1998/08/01,61.15891047,1.9981779400000048,0.3329979166666664,2.9969812499999984,0.4607326940269248,1.867158305203046,1.080476463395521,1.6209717402000021,72.86288533078336,3131.512521575033,13.319899521232038,24.564162947054143,9.702561595681923,45.55469649393429,-0.03418617664715799
1998/09/01,61.86265065,1.9981779400000048,0.3329979166666664,2.9969812499999984,0.4604900861053249,1.8671914669096341,1.0791406053980477,1.6209717402000021,72.92986903325205,3134.5589164204607,13.321960871986326,24.68521588682224,9.65576441559655,45.79284596324607,-0.03418617664715799
1998/10/01,62.55026148,1.9981779400000048,0.3329979166666664,2.9969812499999984,0.4602743980721219,1.8672238563193349,1.0779102542604748,1.6209717402000021,73.00164565306669,3137.6266863928663,13.32390149082955,24.807468556166473,9.609886775156472,46.02523635550431,-0.03418617664715799
1998/11/01,63.21741104,1.9981779400000048,0.6660720093333343,3.9961654400000057,0.4601341565220051,1.867255090042363,1.0768809064718403,1.6209717402000021,73.07814476907319,3140.7172497978972,13.325727007196168,24.930946093778903,9.564030809078496,46.241785221277006,-0.03418617664715799
1998/12/01,63.85976744,1.9981779400000048,0.6660720093333343,3.9961654400000057,0.4601180229666006,1.8672847846889309,1.0761476886354155,1.6209717402000021,73.1592959601178,3143.8320249411845,13.3274430505984,25.055673636877227,9.517298652079505,46.4324101116016,-0.03418617664715799
1999/01/01,64.47299875,1.9981779400000048,0.2863459000000003,2.5771130999999974,0.46027471991783014,1.8673125568692477,1.0758049615892848,1.5710804459999979,73.24502880504694,3146.972430128396,13.329055250124055,25.181676323572667,9.46879243887643,46.58702857545055,0.016760025295841967
1999/02/01,65.05277308,1.9981779400000048,0.6847328160000001,3.7162533400000037,0.46065295821385954,1.867338023193535,1.0759463520083201,1.5710804459999979,73.33527288270675,3150.139883665148,13.3305692359231,25.308979291499362,9.417614304186065,46.695558163926286,0.016760025295841967
1999/03/01,65.59475849,1.9981779400000048,0.6847328160000001,3.7162533400000037,0.4613014445320192,1.8673608002720055,1.0766675807590627,1.5710804459999979,73.42995777194425,3153.3358038571077,13.331990636808744,25.437607678251652,9.362866382725322,46.7479164265827,0.016760025295841967
1999/04/01,66.0776019,1.9981779400000048,0.17180753999999993,1.7180753999999987,0.4622688958645701,1.867380504714883,1.0780626875746484,1.5710804459999979,73.52901305160485,3156.561609009934,13.333325082292019,25.56758662145471,9.303650809211057,46.73402091412554,0.016760025295841967
1999/05/01,66.51739681,1.9981779400000048,0.6847328160000001,3.7162533400000037,0.4636041440331007,1.8673967531323663,1.0802265797488373,1.5710804459999979,73.63236830053532,3159.8187174292484,13.33457820205636,25.698941258867677,9.239069718360174,46.643789176574444,0.016760025295841967
1999/06/01,66.91321557,1.9981779400000048,0.6847328160000001,3.7162533400000037,0.46535646845097467,1.8674091621346864,1.0832551612778245,1.5710804459999979,73.73995309758239,3163.1085474207193,13.33575562516119,25.831696728953716,9.168225244889475,46.46713876420739,0.016760025295841967
1999/07/01,67.2641305,1.9981779400000048,0.17180753999999993,1.7180753999999987,0.46761146338998755,1.867417087611943,1.0873283001759495,1.5710804459999979,73.85169702159149,3166.6196092979267,13.336907185727812,25.965878168620268,9.083415289088189,46.13310179416058,0.016760025295841967
1999/08/01,67.56921392,1.9981779400000048,0.17180753999999993,1.7180753999999987,0.47025768227090853,1.8674213194148304,1.0921484659828415,1.5710804459999979,73.96752965140978,3170.1590728748392,13.337988111965778,26.101510715890917,8.99394833801864,45.72292393322806,0.016760025295841967
1999/09/01,67.82753817,1.9981779400000048,0.6847328160000001,3.7162533400000037,0.4732204676509782,1.8674223866739226,1.0975038325880537,1.5710804459999979,74.08738056588311,3173.721200008321,13.338997778015314,26.238619508420985,8.90232864361165,45.256965447439164,0.016760025295841967
1999/10/01,68.03817557,1.9981779400000048,0.17180753999999993,1.7180753999999987,0.47642516208744035,1.8674208185198107,1.1031839018009728,1.5710804459999979,74.21117934385818,3177.3002525551788,13.339935558179084,26.3772296838355,8.811060457797891,44.75558660409345,0.016760025295841967
1999/11/01,68.20019845,1.9981779400000048,0.17180753999999993,1.7180753999999987,0.47979710813753473,1.8674171440830885,1.1089775055139737,1.5710804459999979,74.3388555641808,3180.890492372299,13.340800826310591,26.517366380185535,8.722648032508117,44.23914766965299,0.016760025295841967
1999/12/01,68.31267914,1.9981779400000048,0.17180753999999993,1.7180753999999987,0.4832616483585079,1.8674118924943235,1.1146714445419192,1.5710804459999979,74.47033880569778,3184.4861813165353,13.341592957144533,26.659054734743574,8.639595619673088,43.72800891064365,0.016760025295841967
2000/01/01,68.37468996,1.9981779400000048,0.17180753999999993,1.7180753999999987,0.4867441253075991,1.867405592884101,1.1200562585111364,1.5710804459999979,74.60555864725507,3188.08158124473,13.342311323936627,26.802319885216136,8.564407471223495,43.242530594906356,0.016760025295841967
2000/02/01,68.38530326,1.9981779400000048,0.17180753999999993,1.7180753999999987,0.49016988154204993,1.8673987743830172,1.1249197931332864,1.5710804459999979,74.74444466769936,3191.670954013751,13.342955301594818,26.9471869700597,8.49958783909015,42.80307298792112,0.016760025295841967
2000/03/01,68.34359134,1.9981779400000048,0.2863459000000003,2.5771130999999974,0.4934642596191056,1.8673919661216365,1.1290516309201502,1.5710804459999979,74.88692644587657,3195.2485614804377,13.343524264047929,27.093681126341835,8.447640975203736,42.42999635783502,0.016760025295841967
2000/04/01,68.2227512,1.9981779400000048,0.6847328160000001,3.7162533400000037,0.4965526020960082,1.867385697230557,1.1322407796458334,1.5710804459999979,75.0329335606335,3198.8086655016327,13.344017585133466,27.241827492375858,8.41107113149499,42.143660970435334,0.016760025295841967
2000/05/01,68.05290558,1.9981779400000048,0.6847328160000001,3.7162533400000037,0.49936025152999514,1.8673804968403591,1.134273669257021,1.5710804459999979,75.18239559081621,3202.3455279342293,13.344434639508261,27.39165120511678,8.392382559894678,41.96442709262833,0.016760025295841967
2000/06/01,67.83830188,1.9981779400000048,0.6847328160000001,3.7162533400000037,0.5018125504783134,1.8673768940816313,1.134941125201715,1.5710804459999979,75.33524211527082,3205.853410635045,13.344774800867475,27.543177402598552,8.394079512333493,41.91265499098871,0.016760025295841967
2000/07/01,67.58318748,1.9981779400000048,0.17180753999999993,1.7180753999999987,0.5038007448148321,1.8673755678753543,1.1339064816814786,1.5710804459999979,75.49155259571283,3209.1549333334488,13.345037443496942,27.69706289193169,8.426884322810965,42.088592900981794,0.016760025295841967
2000/08/01,67.2918098,1.9981779400000048,0.17180753999999993,1.7180753999999987,0.505403692565824,1.867376373295294,1.1315174211022965,1.5710804459999979,75.65103179517426,3212.42311716754,13.34522194191589,27.85262859341219,8.480974066653376,42.3927690430506,0.016760025295841967
2000/09/01,66.96841622,1.9981779400000048,0.17180753999999993,1.7180753999999987,0.5066659678683089,1.8673793152056664,1.1279969694305183,1.5710804459999979,75.81353435106767,3215.6593409645843,13.345327669660731,28.009827098019734,8.55474395475721,42.80559969985867,0.016760025295841967
