year,positive,negative
2011/02/01,0,8
2011/03/01,0,13
2011/04/01,0,58
2011/05/01,0,61
2011/06/01,0,62
2011/07/01,0,61
2011/08/01,0,59
2011/09/01,0,49
2011/10/01,0,38
2011/11/01,0,27
2011/12/01,0,18
2012/01/01,0,18
2012/02/01,0,12
2012/03/01,0,13
2012/04/01,0,27
2012/05/01,0,28
2012/06/01,0,40
2012/07/01,0,31
2012/08/01,0,28
2012/09/01,0,19
2012/10/01,0,20
2012/11/01,0,14
2012/12/01,0,9
2013/01/01,0,7
2013/02/01,0,11
2013/03/01,0,21
2013/04/01,0,29
2013/05/01,0,35
2013/06/01,0,27
2013/07/01,0,19
2013/08/01,0,18
2013/09/01,0,17
2013/10/01,0,11
2013/11/01,0,13
2013/12/01,0,10
2014/01/01,0,19
2014/02/01,0,14
2014/03/01,0,10
2014/04/01,0,25
2014/05/01,0,31
2014/06/01,0,30
2014/07/01,0,22
2014/08/01,0,22
2014/09/01,0,21
2014/10/01,0,13
2014/11/01,0,8
2014/12/01,0,5
2015/01/01,0,9
2015/02/01,0,12
2015/03/01,0,9
2015/04/01,0,25
2015/05/01,0,32
2015/06/01,0,37
2015/07/01,0,28
2015/08/01,0,20
2015/09/01,12,13
2015/10/01,11,12
2015/11/01,10,7
2015/12/01,21,10
2016/01/01,19,14
2016/02/01,17,17
2016/03/01,15,31
2016/04/01,13,42
2016/05/01,11,45
2016/06/01,9,46
2016/07/01,7,40
2016/08/01,5,34
2016/09/01,3,22
2016/10/01,2,19
2016/11/01,1,12
2016/12/01,0,7
2017/01/01,0,10
2017/02/01,0,19
2017/03/01,0,39
2017/04/01,0,49
2017/05/01,0,51
2017/06/01,0,76
2017/07/01,0,59
2017/08/01,0,54
2017/09/01,0,56
2017/10/01,0,43
2017/11/01,0,33
2017/12/01,0,25
2018/01/01,0,26
2018/02/01,0,21
2018/03/01,0,28
2018/04/01,0,27
2018/05/01,0,31
2018/06/01,0,53
2018/07/01,0,53
2018/08/01,0,47
2018/09/01,12,41
2018/10/01,11,36
2018/11/01,10,24
2018/12/01,9,14
2019/01/01,8,8
2019/02/01,19,11
2019/03/01,17,26
2019/04/01,15,26
2019/05/01,13,44
2019/06/01,11,41
2019/07/01,9,37
2019/08/01,7,32
2019/09/01,5,27
2019/10/01,4,24
2019/11/01,3,15
2019/12/01,2,10
2020/01/01,1,12
2020/02/01,0,14
2020/03/01,0,22
2020/04/01,0,41
2020/05/01,0,51
2020/06/01,0,46
2020/07/01,0,46
2020/08/01,0,59
2020/09/01,0,49
2020/10/01,0,46
2020/11/01,0,39
2020/12/01,0,28
2021/01/01,12,30
2021/02/01,11,27
2021/03/01,10,30
2021/04/01,9,34
2021/05/01,8,38
2021/06/01,7,47
2021/07/01,6,47
2021/08/01,5,56
2021/09/01,4,47
2021/10/01,3,34
2021/11/01,2,23
2021/12/01,1,26
2022/01/01,0,25
2022/02/01,0,24
2022/03/01,0,24
2022/04/01,0,36
2022/05/01,0,51
2022/06/01,0,51
2022/07/01,0,51
2022/08/01,12,37
2022/09/01,11,41
2022/10/01,10,28
2022/11/01,9,24
2022/12/01,8,29
2023/01/01,7,22
2023/02/01,6,23
2023/03/01,5,35
2023/04/01,4,63
2023/05/01,3,73
2023/06/01,2,80
2023/07/01,1,79
2023/08/01,0,82
2023/09/01,0,64
2023/10/01,0,42
2023/11/01,0,26
2023/12/01,0,20
2024/01/01,0,35
2024/02/01,0,37
2024/03/01,0,35
2024/04/01,0,45
2024/05/01,0,76
2024/06/01,0,82
2024/07/01,0,73
2024/08/01,0,60
2024/09/01,0,56
2024/10/01,0,44
2024/11/01,0,27
2024/12/01,0,17
