Month,opinion_mon+1,constant,news_county_mean_ob_imp,news_county_num,socialpressure,voteturn,popden,medianinc,housemedianprice,unem,edulevel,pc
2005/02/01,56.82047342,1.9981779400000048,0.14211184400000007,1.42111844,0.6817835477758086,84.94846445314009,3354.328127481541,13.22179148572701,37.434091600410994,10.831054920895042,51.21105452561973,0.1404729318308422
2005/03/01,57.17566345,1.9981779400000048,0.7282152539999994,2.7087371600000067,0.6817982249637393,85.06309451542066,3356.49781260842,13.216714216567391,37.60905784811128,10.762769873218723,51.19817352936839,0.1404729318308422
2005/04/01,57.54248743,1.9981779400000048,0.7282152539999994,2.7087371600000067,0.681804626617792,85.17400500198181,3358.6607490746096,13.211523754995385,37.78304935676348,10.692863475912187,51.18321876301112,0.1404729318308422
2005/05/01,57.91885473,1.9981779400000048,0.14211184400000007,1.42111844,0.681800756259839,85.28118966548112,3360.8177926925146,13.206219475055281,37.95601871775263,10.620774969652976,51.167099238363306,0.1404729318308422
2005/06/01,58.30267469,1.9981779400000048,0.14211184400000007,1.42111844,0.6817846174117566,85.38464225857757,3362.9697992744864,13.200800751039456,38.12791852071179,10.545943595118507,51.15072396724079,0.1404729318308422
2005/07/01,58.69185669,1.9981779400000048,0.7282152539999994,2.7087371600000067,0.6817534388709747,85.48435653392863,3365.134382079239,13.195266956997381,38.298701355701866,10.46482892964352,51.13680267478182,0.1404729318308422
2005/08/01,59.08431009,1.9981779400000048,1.3143186639999989,3.419296380000003,0.6817087104193496,85.580326244192,3367.2943478822467,13.18961746715323,38.468319812971174,10.381339749368918,51.123543332366275,0.1404729318308422
2005/09/01,59.47794424,1.9981779400000048,1.4986334549999998,3.9963558800000096,0.6816511471143046,85.67254514202598,3369.449260702378,13.183851655205372,38.636726482195,10.296405126643467,51.110954595148684,0.1404729318308422
2005/10/01,59.87066852,1.9981779400000048,1.3987245580000014,3.9963558800000096,0.6815814640132603,85.76100698008769,3371.598684558484,13.177968896004982,38.80387395497873,10.21095413381604,51.099045118282945,0.1404729318308422
2005/11/01,60.26039228,1.9981779400000048,1.3987245580000014,3.9963558800000096,0.6815003761736315,85.84570551103597,3373.7421834694283,13.171968563255561,38.96971482035257,10.125915843235381,51.087823556923624,0.1404729318308422
2005/12/01,60.64502488,1.9981779400000048,1.1618714846666676,3.419296380000003,0.6814085986528364,85.9266344875286,3375.879321454056,13.165850031201726,39.134201668121726,10.04221932725022,51.077298566224485,0.1404729318308422
2006/01/01,61.02247569,1.9981779400000048,1.2988156610000003,3.9963558800000096,0.6813068465082954,86.00378766222342,3378.009662531228,13.159612674133456,39.297287088866526,9.960793658209452,51.067478801339995,0.1404729318308422
2006/02/01,61.39065407,1.9981779400000048,1.1618714846666676,3.419296380000003,0.6811958347974284,86.07715878777839,3380.132770719813,13.153255865771484,39.45892367369146,9.882567908461844,51.058372917424215,0.1404729318308422
2006/03/01,61.74315722,1.9981779400000048,1.0160992913333309,4.706915100000012,0.6810762785776503,86.14674161685122,3382.2482100386574,13.14677898080422,39.61906401186271,9.80847115035612,51.04998956963125,0.1404729318308422
2006/04/01,62.08306909,1.9981779400000048,1.2566127140000032,3.419296380000003,0.6809488929063852,86.21252990210054,3384.3555445066045,13.140181392942196,39.7776606925118,9.739432456241104,51.04233741311552,0.1404729318308422
2006/05/01,62.40916149,1.9981779400000048,1.5038011226666657,4.706915100000012,0.6808143928410505,86.2745173961837,3386.454338142539,13.133462476610124,39.934666308383534,9.676380898465688,51.03542510303084,0.1404729318308422
2006/06/01,62.7202062,1.9981779400000048,1.415734879333334,4.706915100000012,0.680673493439063,86.33269785175841,3388.5441549653137,13.12662160594201,40.09003344746011,9.620245549378513,51.02926129453151,0.1404729318308422
2006/07/01,63.01497502,1.9981779400000048,1.2802980213333357,4.706915100000012,0.6805270401533438,86.3870650214832,3390.6179641507583,13.119658154727203,40.243714700535755,9.573525707944802,51.0238546427723,0.1404729318308422
2006/08/01,63.29223975,1.9981779400000048,0.7282152539999994,2.7087371600000067,0.6803751612615531,86.43761265801596,3392.6828776421103,13.112571497597278,40.39566265847101,9.534795101041508,51.01921380290636,0.1404729318308422
2006/09/01,63.55077218,1.9981779400000048,0.7282152539999994,2.7087371600000067,0.6802181154368515,86.48433451401444,3394.739412387685,13.105361008334418,40.545829909960055,9.504197687709333,51.01534743008837,0.1404729318308422
2006/10/01,63.7893441,1.9981779400000048,0.7282152539999994,2.7087371600000067,0.6800561613523916,86.52722434213634,3396.788085335801,13.098026061153025,40.69416904612,9.481877426988794,51.0122641794728,0.1404729318308422
2006/11/01,64.00672732,1.9981779400000048,0.14211184400000007,1.42111844,0.679889557681345,86.56627589503994,3398.8294134347766,13.090566030420451,40.84063265747174,9.467978277920535,51.00997270621342,0.1404729318308422
2006/12/01,64.20169362,1.9981779400000048,0.14211184400000007,1.42111844,0.6797185630968622,86.60148292538369,3400.8639136329275,13.082980290244587,40.98517333356054,9.462644199545165,51.00848166546447,0.1404729318308422
2007/01/01,64.3730148,1.9981779400000048,0.6782147653333336,3.8140241000000072,0.6792697746006792,86.63283918582464,3402.8921028785917,13.075268214482021,41.12774366407292,9.466019150903334,51.00779971238031,0.032067171053753736
