Event,Type,Begin Date,End Date,CPI-Adjusted Cost
Southern and Central Severe WeatherMay 2022,Severe Storm,01-May-22,03-May-22,1.2
Southern Severe WeatherApril 2022,Severe Storm,11-Apr-22,13-Apr-22,2.9
Southeast Tornado OutbreakApril 2022,Severe Storm,04-Apr-22,06-Apr-22,1.5
Southern Tornado OutbreakMarch 2022,Severe Storm,30-Mar-22,30-Mar-22,1.4
Texas Hail StormsFebruary 2022,Severe Storm,21-Feb-22,22-Feb-22,1.1
Western Wildfires2021,Wildfire,01-Jun-21,31-Dec-21,12.1
Western Drought and Heat Wave2021,Drought,01-Jan-21,31-Dec-21,10.2
Midwest Derecho and Tornado OutbreakDecember 2021,Severe Storm,15-Dec-21,15-Dec-21,2
"Southeast, Central Tornado OutbreakDecember 2021",Severe Storm,10-Dec-21,10-Dec-21,4.5
Hurricane NicholasSeptember 2021,Tropical Cyclone,14-Sep-21,18-Sep-21,1.2
Hurricane IdaAugust 2021,Tropical Cyclone,29-Aug-21,01-Sep-21,84.6
Tropical Storm FredAugust 2021,Tropical Cyclone,16-Aug-21,18-Aug-21,1.5
North Central Severe WeatherAugust 2021,Severe Storm,10-Aug-21,13-Aug-21,1.5
Central Severe StormsJuly 2021,Severe Storm,08-Jul-21,11-Jul-21,1.3
Tropical Storm ElsaJuly 2021,Tropical Cyclone,07-Jul-21,09-Jul-21,1.4
Central Severe StormsJune 2021,Severe Storm,24-Jun-21,26-Jun-21,1.5
Ohio Valley Hail StormsJune 2021,Severe Storm,17-Jun-21,18-Jun-21,2
Louisiana FloodingMay 2021,Flooding,17-May-21,18-May-21,1.6
Southern Tornadoes and Southeast Severe WeatherMay 2021,Severe Storm,02-May-21,04-May-21,1.5
Texas and Oklahoma Severe WeatherApril 2021,Severe Storm,27-Apr-21,28-Apr-21,3.7
Texas Hail StormsApril 2021,Severe Storm,12-Apr-21,15-Apr-21,1.8
Eastern Severe WeatherMarch 2021,Severe Storm,27-Mar-21,28-Mar-21,1.6
Southeast Tornadoes and Severe WeatherMarch 2021,Severe Storm,24-Mar-21,25-Mar-21,2
"Northwest, Central, Eastern Winter Storm and Cold WaveFebruary 2021",Winter Storm,10-Feb-21,19-Feb-21,27.2
California Flooding and Severe WeatherJanuary 2021,Flooding,24-Jan-21,29-Jan-21,1.3
"Western Wildfires - California, Oregon, Washington FirestormsFall 2020",Wildfire,01-Aug-20,30-Dec-20,19.9
Western/Central Drought and Heat WaveSummer-Fall 2020,Drought,01-Jun-20,30-Dec-20,5.4
Tropical Storm EtaNovember 2020,Tropical Cyclone,08-Nov-20,12-Nov-20,1.8
Hurricane ZetaOctober 2020,Tropical Cyclone,28-Oct-20,29-Oct-20,5.3
Hurricane DeltaOctober 2020,Tropical Cyclone,09-Oct-20,11-Oct-20,3.5
Hurricane SallySeptember 2020,Tropical Cyclone,15-Sep-20,17-Sep-20,8.8
Hurricane LauraAugust 2020,Tropical Cyclone,27-Aug-20,28-Aug-20,28.1
Central Severe Weather - DerechoAugust 2020,Severe Storm,10-Aug-20,10-Aug-20,13.5
Hurricane IsaiasAugust 2020,Tropical Cyclone,03-Aug-20,04-Aug-20,5.8
Hurricane HannaJuly 2020,Tropical Cyclone,25-Jul-20,26-Jul-20,1.3
Central Severe WeatherJuly 2020,Severe Storm,10-Jul-20,11-Jul-20,1.5
South Texas Hail StormsMay 2020,Severe Storm,27-May-20,27-May-20,1.7
"South, Central and Eastern Severe WeatherMay 2020",Severe Storm,20-May-20,23-May-20,1.9
Central and Eastern Severe WeatherMay 2020,Severe Storm,03-May-20,05-May-20,2.6
"Central, Southern and Eastern Severe WeatherApril 2020",Severe Storm,27-Apr-20,30-Apr-20,1.3
Southern Severe WeatherApril 2020,Severe Storm,21-Apr-20,23-Apr-20,1.7
Southeast and Eastern Tornado OutbreakApril 2020,Severe Storm,12-Apr-20,13-Apr-20,4.2
