Event,Type,Begin Date,End Date,CPI-Adjusted Cost
Severe Storms/HailApril 2003,Severe Storm,04-Apr-03,07-Apr-03,3.5
Western Fire SeasonFall 2002,Wildfire,01-Sep-02,30-Nov-02,2.3
U.S. DroughtSpring-Fall 2002,Drought,01-Mar-02,30-Nov-02,16
Eastern Tornadoes and Severe StormsNovember 2002,Severe Storm,09-Nov-02,11-Nov-02,1.3
Tropical Storm IsidoreSeptember 2002,Tropical Cyclone,25-Sep-02,27-Sep-02,2
Hurricane LiliOctober 2002,Tropical Cyclone,01-Aug-02,05-Aug-02,1.9
Severe Storms and TornadoesApril 2002,Severe Storm,27-Apr-02,28-Apr-02,3.7
Tropical Storm AllisonJune 2001,Tropical Cyclone,05-Jun-01,17-Jun-01,15.1
North Central Severe WeatherMay 2001,Severe Storm,30-Apr-01,01-May-01,1.2
Midwest/Ohio Valley Hail and TornadoesApril 2001,Severe Storm,06-Apr-01,11-Apr-01,5.5
Western/Central/Southeast Drought/Heat WaveSpring-Fall 2000,Drought,01-Mar-00,30-Nov-00,9.3
South Florida FloodingOctober 2000,Flooding,03-Oct-00,04-Oct-00,1.6
Western Fire SeasonSpring-Summer 2000,Wildfire,01-Mar-00,31-Aug-00,2
Southern Severe WeatherMarch 2000,Severe Storm,28-Mar-00,29-Mar-00,1.3
Southeast Winter StormJanuary 2000,Winter Storm,21-Jan-00,24-Jan-00,1.3
Hurricane FloydSeptember 1999,Tropical Cyclone,14-Sep-99,16-Sep-99,12.2
Eastern Drought/Heat WaveSummer 1999,Drought,01-Jun-99,31-Aug-99,4.8
Oklahoma and Kansas TornadoesMay 1999,Severe Storm,03-May-99,06-May-99,3.8
Central and Eastern Winter StormMid-January 1999,Winter Storm,13-Jan-99,16-Jan-99,1.7
Central and Eastern Winter StormJanuary 1999,Winter Storm,01-Jan-99,04-Jan-99,2
California FreezeDecember 1998,Freeze,20-Dec-98,28-Dec-98,4.9
Texas FloodingOctober 1998,Flooding,16-Oct-98,24-Oct-98,1.8
Hurricane GeorgesSeptember 1998,Tropical Cyclone,20-Sep-98,29-Sep-98,11.6
Southern Drought and Heat WaveSummer 1998,Drought,01-Jun-98,31-Aug-98,6.9
Hurricane BonnieAugust 1998,Tropical Cyclone,27-Aug-98,29-Aug-98,1.9
Tropical Storm FrancesSeptember 1998,Tropical Cyclone,08-Aug-98,13-Aug-98,1.4
Central and Eastern Severe Storms and FloodingJune 1998,Severe Storm,20-Jun-98,24-Jun-98,1.7
"Northern Plains and Great Lakes Derecho, TornadoesJune 1998",Severe Storm,30-May-98,02-Jun-98,2.2
Minnesota Severe Storms/HailMay 1998,Severe Storm,15-May-98,15-May-98,3.2
Western/Eastern Severe Weather and FloodingWinter-Spring 1998,Severe Storm,01-Dec-97,28-Feb-98,2
Northeast Ice StormJanuary 1998,Winter Storm,05-Jan-98,09-Jan-98,2.7
Northern Plains FloodingSpring 1997,Flooding,03-Feb-97,24-May-97,7.3
Mississippi and Ohio Valley Severe Weather and FloodingMarch 1997,Severe Storm,28-Feb-97,05-Mar-97,1.9
West Coast FloodingDecember 1996-January 1997,Flooding,01-Jan-97,11-Jan-97,6
New England FloodingOctober 1996,Flooding,19-Oct-96,22-Oct-96,1.4
Hurricane FranSeptember 1996,Tropical Cyclone,05-Sep-96,08-Sep-96,10
Southern Plains DroughtSpring-Summer 1996,Drought,01-Mar-96,31-Aug-96,3.7
Pacific Northwest Severe FloodingFebruary 1996,Flooding,07-Feb-96,12-Feb-96,2.1
Blizzard/FloodsJanuary 1996,Winter Storm,01-Jan-96,31-Jan-96,6.1
Hurricane OpalOctober 1995,Tropical Cyclone,04-Oct-95,06-Oct-95,9.6
"Central, Southern and Northeast Drought/Heat WaveSeptember 1995",Drought,01-Jul-95,30-Sep-95,2
Hurricane MarilynSeptember 1995,Tropical Cyclone,15-Sep-95,17-Sep-95,4.3
Hurricane ErinAugust 1995,Tropical Cyclone,01-Aug-95,07-Aug-95,1.8
South Plains Severe WeatherMay 1995,Severe Storm,05-May-95,07-May-95,11.4
Texas Hail StormApril 1995,Severe Storm,28-Apr-95,28-Apr-95,1.2
California FloodingJanuary-March 1995,Flooding,01-Jan-95,31-Mar-95,5.3
Western Fire SeasonSummer-Fall 1994,Wildfire,01-Jun-94,30-Nov-94,1.5
Texas FloodingOctober 1994,Flooding,16-Oct-94,25-Oct-94,2.1
Tropical Storm AlbertoJuly 1994,Tropical Cyclone,07-Jul-94,10-Jul-94,2.1
Midwest/Plains TornadoesApril 1994,Severe Storm,25-Apr-94,27-Apr-94,2.1
Southeast Ice StormFebruary 1994,Winter Storm,08-Feb-94,13-Feb-94,6.4
"Winter Storm, Cold WaveJanuary 1994",Winter Storm,17-Jan-94,20-Jan-94,2.2
California WildfiresFall 1993,Wildfire,01-Sep-93,30-Nov-93,3
Southeast Drought and Heat WaveSummer 1993,Drought,01-Jun-93,31-Aug-93,2.8
Midwest FloodingSummer 1993,Flooding,27-Jun-93,15-Aug-93,46.3
Northern Plains and Ohio Valley Severe WeatherJuly 1993,Severe Storm,08-Jul-93,10-Jul-93,1.4
East Coast Blizzard and Severe WeatherMarch 1993,Winter Storm,11-Mar-93,14-Mar-93,12.2
Northeast Winter StormDecember 1992,Winter Storm,10-Dec-92,13-Dec-92,5.5
Southeast Severe WeatherNovember 1992,Severe Storm,21-Nov-92,23-Nov-92,1.5
Hurricane InikiSeptember 1992,Tropical Cyclone,11-Sep-92,12-Sep-92,6.9
Hurricane AndrewAugust 1992,Tropical Cyclone,23-Aug-92,27-Aug-92,60.5
"Severe Storms, HailJune 1992",Severe Storm,19-Jun-92,20-Jun-92,1.7
"Hail, TornadoesApril 1992",Severe Storm,28-Apr-92,29-Apr-92,2.2
Severe StormsMarch 1992,Severe Storm,24-Mar-92,25-Mar-92,1.8
Oakland FirestormOctober 1991,Wildfire,01-Oct-91,31-Oct-91,7.6
U.S. DroughtSpring-Summer 1991,Drought,01-Mar-91,31-Aug-91,7
Hurricane BobAugust 1991,Tropical Cyclone,18-Aug-91,20-Aug-91,3.5
"Severe Storms, TornadoesMarch 1991",Severe Storm,26-Mar-91,29-Mar-91,1.5
California FreezeDecember 1990,Freeze,18-Dec-90,25-Dec-90,8.4
Western Fire SeasonSummer 1990,Wildfire,01-Jun-90,31-Aug-90,1.7
Colorado Hail StormJuly 1990,Severe Storm,11-Jul-90,11-Jul-90,2
Southern FloodingMay 1990,Flooding,11-May-90,19-May-90,2.5
"Winter Storm, Cold WaveDecember 1989",Winter Storm,21-Dec-89,26-Dec-89,1.7
Florida FreezeDecember 1989,Freeze,23-Dec-89,25-Dec-89,5.2
Northern Plains DroughtSummer-Fall 1989,Drought,01-Jun-89,30-Nov-89,7.8
Hurricane HugoSeptember 1989,Tropical Cyclone,21-Sep-89,22-Sep-89,22.7
Tropical Storm AllisonJune 1989,Tropical Cyclone,26-Jun-89,28-Jun-89,1.5
Southern Derecho and Severe StormsMay 1989,Severe Storm,01-May-89,06-May-89,1.4
,,,,
average,,,,7.283510638
maximum,,,,201.3
minimum,,,,1.1
,,,,1.1
